Episode,Agent_J1,Agent_J2,Agent_J5,Agent_J7
63,-1605.4099999999999,-1098.0066666666667,-996.14,-1295.9433333333334
64,-1178.8166666666666,-1108.2766666666666,-1417.28,-1238.6566666666665
65,-1160.9099999999999,-1215.0933333333332,-1178.1366666666665,-1423.5466666666666
66,-1294.6666666666665,-1459.2833333333333,-1069.26,-1496.12
67,-1318.6433333333332,-1128.12,-828.3,-1488.6399999999999
68,-1001.8299999999999,-1540.1433333333332,-1095.09,-1538.2066666666667
69,-1251.52,-1290.1799999999998,-1309.2433333333333,-1573.5233333333333
70,-1086.62,-1022.26,-1251.2033333333334,-1450.94
71,-1074.95,-1217.2266666666667,-1154.7566666666667,-1261.37
72,-1188.3133333333333,-1536.7466666666667,-1253.3866666666665,-1726.3133333333333
73,-1236.7933333333333,-1266.3533333333332,-1143.7833333333333,-1311.3633333333332
74,-1035.3733333333332,-1705.3266666666666,-984.61,-1551.1433333333332
75,-1206.74,-1103.3966666666665,-1267.9433333333334,-1195.2466666666667
76,-1254.8333333333333,-1683.6466666666665,-1327.6933333333334,-1684.3633333333332
77,-1319.6633333333332,-1704.4666666666667,-1369.1766666666665,-1287.2533333333333
78,-1436.0066666666667,-1120.1666666666667,-1125.1633333333332,-1264.57
79,-1258.7066666666667,-1534.5766666666666,-1431.8266666666666,-1459.8466666666666
80,-1186.55,-1233.8266666666666,-985.6266666666667,-1434.4933333333333
81,-1226.2933333333333,-1031.83,-1149.3266666666666,-1225.61
82,-1375.29,-1637.2033333333331,-1187.6299999999999,-1341.9466666666667
83,-1137.79,-1115.5066666666667,-980.2633333333333,-1296.73
